TYPE,CLIENT,YEAR,MAKE,MODEL,COLOR,TAG,VIN,STREET,CITY,ZIP,GPS,SPOTTER,DRIVER,NOTES,STATUS
DRN,Ford Motor Credit,2012,Toyota,Corolla,Blue,TX-WJU-7689,HJCCW8HGSJ1603K3G,6786 Elm St,Arlington,76414,"32.780043, -96.833684",,Emily Rodriguez,"Coords 32.780043, -96.833684",Towed
DRN,Ford Motor Credit,2022,Toyota,Camry,Silver,AZ-OCV4475,BDYSJPEPPRYKAUKJT,1901 Main Ave,Mesa,85031,"33.425385, -111.924049",Michael Johnson,Michael Rodriguez,,Located
IMP,US Bank,2016,Ford,F-150,Black,MD-6QS2786,59RCW6BD724G85EFX,2530 Oak Ave,Towson,21282,"39.29862, -76.587073",,William Lee,"Coords 39.29862, -76.587073",Towed
BLOCKED,Navy Federal CU,2020,Ford,Escape,Silver,GA-UUY4522,45R3Y623GX4XT0K7E,1498 Oak Blvd,Atlanta,30051,"33.836147, -84.406838",Maria Moore,Michael Rodriguez,,Blocked
GPS,Regions Bank,2020,Ford,Escape,Blue,MD-XBJ714,WZG9PK7RGZ0HUR4BU,3055 Elm Rd,Baltimore,21944,"39.244567, -76.708718",,John Anderson,"Coords 39.244567, -76.708718",Dispatched
GPS,Capital One,2014,Toyota,Camry,Red,GA-OKF7062,WXFDKLDFU54853UP9,5755 Walnut St,Atlanta,30147,"33.819554, -84.351716",,Sophia Rodriguez,,Blocked
GPS,Hyundai Capital,2015,Honda,Civic,Gray,AZ-YIJ6375,HA84MJ1R9ZE2C4B6E,9533 Walnut Blvd,Glendale,86454,"33.52405, -112.09867",Michael Johnson,Emily Rodriguez,,Located
DRN,Navy Federal CU,2024,Ford,F-150,Blue,AZ-NSM9584,F2WYRYLE9H9NZZKSG,4293 Maple Ave,Mesa,86234,"33.353504, -111.934297",Mia Garcia,Michael Rodriguez,,Located
IMP,GM Financial,2024,Toyota,Corolla,Blue,GA-UKE8205,E75WUDZ9EW65CD0VE,9833 Park Blvd,Atlanta,30238,"33.795082, -84.261442",,James Brown,"Coords 33.795082, -84.261442",Stashed
DRN,Santander Consumer,2024,Toyota,Corolla,Blue,MD-6WC9266,MCS55L00V13YDYEYG,6433 Elm Rd,Towson,21742,"39.341798, -76.507474",Daniel Lee,Olivia Brown,"Coords 39.341798, -76.507474",Towed
DRN,US Bank,2013,Hyundai,Elantra,Blue,TX-ETW-2388,W1YJF490B0WMPY8NR,2638 Oak Rd,Plano,76730,"32.892792, -96.812462",,,,Located
MI,Hyundai Capital,2017,Jeep,Grand Cherokee,Green,MD-YTZ269,5C30S5V5RSW7N056V,8339 Park Blvd,Glen Burnie,21990,"39.210791, -76.668063",David Lee,Michael Rodriguez,"Coords 39.210791, -76.668063",Towed
BLOCKED,BB&T Auto,2022,Honda,Civic,Gray,AZ-JCY3626,U59K4FR5ZB3D290S1,6242 Maple St,Phoenix,85653,"33.625789, -111.906288",Mia Anderson,,"Coords 33.625789, -111.906288",Blocked
MI,American Credit Acceptance,2012,Ford,F-150,Silver,TX-CAI-4533,K4HVSWHDS36EH8B9S,4872 Walnut St,Plano,76260,"32.77526, -96.791681",Sophia Wilson,,,Blocked
BLOCKED,Toyota Financial,2017,Honda,Accord,Black,MD-BUM482,TBZEZSGYJCZYM67MJ,7598 Main Rd,Baltimore,21207,"39.188323, -76.668111",,Sophia Rodriguez,,Blocked
IMP,Ford Motor Credit,2018,Honda,Accord,Green,AZ-JLY1783,YUH04251YM880UF4F,9970 Pine Rd,Scottsdale,85658,"33.335909, -112.085228",William Rodriguez,Sarah Rodriguez,,Located
IMP,Ally Financial,2023,Ford,Escape,Gray,GA-TNI1939,E209LBK5CJES001CK,6177 Cedar Blvd,Sandy Springs,30392,"33.669221, -84.465576",,Olivia Brown,,Dispatched
GPS,Bank of America,2016,Jeep,Grand Cherokee,White,AZ-RDI5264,5PV8NHJE5M5FXZEVW,2952 Cedar Ave,Mesa,85249,"33.644796, -111.922777",,Sarah Johnson,,Blocked
DRN,GM Financial,2017,Honda,Civic,Blue,GA-CJM8842,33EJXE56ZJMJ49DHK,2797 Pine Rd,Roswell,30365,"33.706368, -84.263129",David Thomas,Sophia Rodriguez,,Towed
DRN,Ford Motor Credit,2016,Toyota,Camry,White,AZ-QUF3526,LYCBFCTP3B8VW7S2W,1295 Main Ave,Scottsdale,85901,"33.445468, -112.037445",Michael Thomas,,,Located
IMP,BB&T Auto,2023,Hyundai,Elantra,Silver,TX-KHO-3007,U5SKGDV13SLXXNL89,8271 Elm Blvd,Arlington,75048,"32.704313, -96.85023",Daniel Anderson,John Anderson,,Located
GPS,Wells Fargo,2021,Nissan,Altima,Silver,TX-JRA-2761,4JT020C2DN0VE195U,2046 Pine St,Garland,75807,"32.780764, -96.65436",,Olivia Brown,,Located
IMP,Toyota Financial,2015,Ford,F-150,Blue,AZ-WKZ8761,6K9JXXL2WY998W7B0,1895 Walnut Rd,Glendale,86632,"33.614568, -111.894765",John Smith,Sarah Rodriguez,"Coords 33.614568, -111.894765",Towed
BLOCKED,GM Financial,2022,Chevrolet,Malibu,Green,GA-FQU7229,KSCHNB5X3K3P397DJ,3497 Park Rd,Decatur,30341,"33.769593, -84.405794",,,"Coords 33.769593, -84.405794",Blocked
DRN,BB&T Auto,2017,Honda,Accord,Blue,GA-RJH5876,VP8X7ZUVH12ZKVCVF,7347 Elm Blvd,Roswell,30111,"33.700517, -84.365356",,Olivia Brown,"Coords 33.700517, -84.365356",Towed
MI,GM Financial,2013,Ford,F-150,Blue,AZ-UHB2641,3Y7GJAL377NVXVDFR,711 Pine Blvd,Tempe,86807,"33.593162, -111.873127",James Anderson,Sarah Rodriguez,,Located
